areaType,areaName,areaCode,date,newPillarOneTestsByPublishDate,cumPillarOneTestsByPublishDate
nation,Wales,W92000004,2020-06-08,3263,113443
nation,Wales,W92000004,2020-06-07,3869,110180
nation,Wales,W92000004,2020-06-06,3136,106311
nation,Wales,W92000004,2020-06-05,3006,103175
nation,Wales,W92000004,2020-06-04,2602,100169
nation,Wales,W92000004,2020-06-03,2400,97567
nation,Wales,W92000004,2020-06-02,2492,95167
nation,Wales,W92000004,2020-06-01,2945,92675
nation,Wales,W92000004,2020-05-31,3106,89730
nation,Wales,W92000004,2020-05-30,2400,86624
nation,Wales,W92000004,2020-05-29,2743,84224
nation,Wales,W92000004,2020-05-28,1555,81481
nation,Wales,W92000004,2020-05-27,2206,79926
nation,Wales,W92000004,2020-05-26,3030,77720
nation,Wales,W92000004,2020-05-25,3079,74690
nation,Wales,W92000004,2020-05-24,2426,71611
nation,Wales,W92000004,2020-05-23,2161,69185
nation,Wales,W92000004,2020-05-22,1794,67024
nation,Wales,W92000004,2020-05-21,1843,65230
nation,Wales,W92000004,2020-05-20,1565,63387
nation,Wales,W92000004,2020-05-19,1914,61822
nation,Wales,W92000004,2020-05-18,1931,59908
nation,Wales,W92000004,2020-05-17,1743,57977
nation,Wales,W92000004,2020-05-16,1652,56234
nation,Wales,W92000004,2020-05-15,1421,54584
nation,Wales,W92000004,2020-05-14,1300,53163
nation,Wales,W92000004,2020-05-13,1087,51863
nation,Wales,W92000004,2020-05-12,1193,50776
nation,Wales,W92000004,2020-05-11,1314,49583
nation,Wales,W92000004,2020-05-10,2017,48269
nation,Wales,W92000004,2020-05-09,1096,46252
nation,Wales,W92000004,2020-05-08,1134,45156
nation,Wales,W92000004,2020-05-07,933,44022
nation,Wales,W92000004,2020-05-06,743,43089
nation,Wales,W92000004,2020-05-05,892,42346
nation,Wales,W92000004,2020-05-04,1504,41454
nation,Wales,W92000004,2020-05-03,1198,39950
nation,Wales,W92000004,2020-05-02,1438,38752
nation,Wales,W92000004,2020-05-01,1090,37314
nation,Wales,W92000004,2020-04-30,1042,36224
nation,Wales,W92000004,2020-04-29,734,35182
nation,Wales,W92000004,2020-04-28,1191,34448
nation,Wales,W92000004,2020-04-27,1250,33257
nation,Wales,W92000004,2020-04-26,775,32007
nation,Wales,W92000004,2020-04-25,1301,31232
nation,Wales,W92000004,2020-04-24,1027,29931
nation,Wales,W92000004,2020-04-23,816,28904
nation,Wales,W92000004,2020-04-22,964,28088
nation,Wales,W92000004,2020-04-21,1033,27124
nation,Wales,W92000004,2020-04-20,921,26091
nation,Wales,W92000004,2020-04-19,1056,25170
nation,Wales,W92000004,2020-04-18,783,24114
nation,Wales,W92000004,2020-04-17,705,23332
nation,Wales,W92000004,2020-04-16,755,22627
nation,Wales,W92000004,2020-04-15,703,21872
nation,Wales,W92000004,2020-04-14,678,21169
nation,Wales,W92000004,2020-04-13,770,20491
nation,Wales,W92000004,2020-04-12,1005,19721
nation,Wales,W92000004,2020-04-11,912,18716
nation,Wales,W92000004,2020-04-10,1254,17804
nation,Wales,W92000004,2020-04-09,21,16550
nation,Wales,W92000004,2020-04-08,794,16529
nation,Wales,W92000004,2020-04-07,696,15735
nation,Wales,W92000004,2020-04-06,910,15039
nation,Wales,W92000004,2020-04-05,1000,14129
nation,Wales,W92000004,2020-04-04,1110,13129
nation,Wales,W92000004,2020-04-03,1090,12019
nation,Wales,W92000004,2020-04-02,942,10929
nation,Wales,W92000004,2020-04-01,855,9987
